date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:22	61741/61741	---MCZ	200	added ('OK')	text/html	etag:W/%2260587b2e-f12d%22	https://adminlte.io/themes/v3/index.html	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/index.html	(from )
01:02:23	24/24	---M--	200	added ('OK')	text/plain	etag:%225909dd5f-18%22	https://adminlte.io/robots.txt		(from )
01:02:23	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b2e-e7d0%22	https://adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:23	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%22608affed-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:24	11967/11967	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b2e-2ebf%22	https://adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:24	12505/12505	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b04-30d9%22	https://adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:24	613/613	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b04-265%22	https://adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:25	20020/20020	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b2e-4e34%22	https://adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:25	1382975/1382975	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b2e-151a3f%22	https://adminlte.io/themes/v3/dist/css/adminlte.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/css/adminlte.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:25	8069/8069	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b04-1f85%22	https://adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	(from https://adminlte.io/themes/v3/index.html)
01:02:25	19403/19403	---MCZ	200	added ('OK')	text/css	etag:W/%2260587b04-4bcb%22	https://adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.css	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.css	(from https://adminlte.io/themes/v3/index.html)
01:02:26	2637/2637	---M--	200	added ('OK')	image/png	etag:%2260587b04-a4d%22	https://adminlte.io/themes/v3/dist/img/AdminLTELogo.png	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/img/AdminLTELogo.png	(from https://adminlte.io/themes/v3/index.html)
01:02:26	43689/43689	---MCZ	200	added ('OK')	text/html	etag:W/%2260587b2e-aaa9%22	https://adminlte.io/themes/v3/index3.html	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/index3.html	(from https://adminlte.io/themes/v3/index.html)
01:02:26	2750/2750	---M--	200	added ('OK')	image/jpeg	etag:%2260587b04-abe%22	https://adminlte.io/themes/v3/dist/img/user1-128x128.jpg	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/img/user1-128x128.jpg	(from https://adminlte.io/themes/v3/index.html)
01:02:26	4983/4983	---M--	200	added ('OK')	image/jpeg	etag:%2260587b04-1377%22	https://adminlte.io/themes/v3/dist/img/user8-128x128.jpg	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/img/user8-128x128.jpg	(from https://adminlte.io/themes/v3/index.html)
01:02:26	3398/3398	---M--	200	added ('OK')	image/jpeg	etag:%2260587b04-d46%22	https://adminlte.io/themes/v3/dist/img/user3-128x128.jpg	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/img/user3-128x128.jpg	(from https://adminlte.io/themes/v3/index.html)
01:02:27	6905/6905	---M--	200	added ('OK')	image/jpeg	etag:%2260587b04-1af9%22	https://adminlte.io/themes/v3/dist/img/user2-160x160.jpg	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/dist/img/user2-160x160.jpg	(from https://adminlte.io/themes/v3/index.html)
01:02:27	72983/72983	---MCZ	200	added ('OK')	text/html	etag:W/%2260587b2e-11d17%22	https://adminlte.io/themes/v3/index2.html	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/index2.html	(from https://adminlte.io/themes/v3/index.html)
01:02:27	129260/129260	---MCZ	200	added ('OK')	text/html	etag:W/%2260587b2e-1f8ec%22	https://adminlte.io/themes/v3/pages/widgets.html	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/pages/widgets.html	(from https://adminlte.io/themes/v3/index.html)
01:02:27	12816/12816	---MCZ	200	added ('OK')	text/html	etag:W/%2260587b2e-3210%22	https://adminlte.io/themes/v3/pages/layout/top-nav.html	C:/Users/ldeto/OneDrive/Documentos/LuisDeTomas/13.-Proyectos/Plantillas%20web%20Admin/Plantilla003/adminlte.io/themes/v3/pages/layout/top-nav.html	(from https://adminlte.io/themes/v3/index.html)
